NR	E-post	Oppretta	Endra	Kva studieprogram høyrer du til?	Kva studieår er du på?	Har du nokon gong besøkt fagsida i fysikk?	Fann du det du lette etter?	Ein kort test_1	Ein kort test_2	Ein kort test_3	Ein kort test_4	Kor brukarvenleg er sida	Er det noko du saknar på sida?
987476		19.05.2015	19.05.2015	FAM bachelor	1.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Litt vanskeleg å finne fram	
987479		19.05.2015	19.05.2015	FAM bachelor	2.	Nei		Gå til emneordsøket		Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Ganske enkel å bruke	Ser ut til at en må være koblet til et UiO nettverk for å bruke SCOPUS.
987484		19.05.2015	19.05.2015	MENA master	5.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS		Sende oss eit framlegg til kva me bør kjøpe inn	Litt vanskeleg å finne fram	
987486		19.05.2015	19.05.2015	MENA master	4.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Veldig lett å bruke	
987491		19.05.2015	19.05.2015	MENA bachelor	5.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Ganske enkel å bruke	Det er ingenting jeg savner, det er heller litt mye informasjon på en gnag. Jeg tror også dere bør bli flinkere til å informere om disse sidene da jeg tror de færreste forelesere gjør det. Stå på!
987508		19.05.2015	19.05.2015	MENA master	2.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX		Ganske enkel å bruke	
987512		19.05.2015	19.05.2015	MENA bachelor	1.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Ganske enkel å bruke	Ctrl-F er din venn :) ergo når dere spør meg om å finne de tingene som dere gjorde går det ganske raskt. har aldri brukt siden så er usikker på hva jeg savner, men et lite forslag dere kan lage en liste på venstre side (Der er det mye tom plass) hvor dere har ting som folk generelt leter etter(f.eks. BibLaTex).
987543		19.05.2015	19.05.2015	MENA bachelor	3.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS			Ganske enkel å bruke	
987577		19.05.2015	19.05.2015	anna	6. eller høgare	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Ganske enkel å bruke	
987609		19.05.2015	19.05.2015	MENA bachelor	1.	Nei		Gå til emneordsøket			Sende oss eit framlegg til kva me bør kjøpe inn	Litt vanskeleg å finne fram	
987614		19.05.2015	19.05.2015	Fysikk master	6. eller høgare	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Veldig lett å bruke	
987623		19.05.2015	19.05.2015	FAM bachelor	1.	Nei		Gå til emneordsøket				Litt vanskeleg å finne fram	
987670		19.05.2015	19.05.2015	FAM bachelor	1.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Litt vanskeleg å finne fram	
987672		19.05.2015	19.05.2015	FAM bachelor	1.	Nei		Gå til emneordsøket			Sende oss eit framlegg til kva me bør kjøpe inn	Ganske enkel å bruke	
987674		19.05.2015	19.05.2015	FAM bachelor	3.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX		Ganske enkel å bruke	
987744		19.05.2015	19.05.2015	FAM bachelor	3.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Ganske enkel å bruke	
987843		19.05.2015	19.05.2015	MENA bachelor	3.	Ja	Ja, men eg måtte leite litt	Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX		Ganske enkel å bruke	
988001		19.05.2015	19.05.2015	FAM bachelor	3.	Ja	Ja	Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Veldig lett å bruke	
988103		19.05.2015	19.05.2015	FAM bachelor	3.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX		Litt vanskeleg å finne fram	Nei, ikke som jeg kan tenke på, og det er kanskje det som er problemet mitt her. Det er for mange linker til forskjellige ting på siden, og det gjør at den fremstår som uoversiktlig.
988144		19.05.2015	19.05.2015	FAM bachelor	1.	Nei		Gå til emneordsøket		Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Litt vanskeleg å finne fram	
988182		19.05.2015	19.05.2015	FAM bachelor	1.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS			Litt vanskeleg å finne fram	
988270		19.05.2015	19.05.2015	FAM bachelor	4.	Nei		Gå til emneordsøket		Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Ganske enkel å bruke	
988361		19.05.2015	19.05.2015	FAM bachelor	1.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Litt vanskeleg å finne fram	
988435		19.05.2015	19.05.2015	FAM bachelor	1.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Ganske enkel å bruke	
988556		19.05.2015	19.05.2015	FAM bachelor	3.	Ja	Ja, men eg måtte leite litt	Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Veldig lett å bruke	
989842		21.05.2015	21.05.2015	FAM bachelor	1.	Nei		Gå til emneordsøket	Bruke databasen SCOPUS	Finne informasjon viss du vil bruke BibLaTeX	Sende oss eit framlegg til kva me bør kjøpe inn	Veldig lett å bruke	
